income_1999,income_2001,income_2003,income_2005,income_2007,income_2009,consumption_1999,consumption_2001,consumption_2003,consumption_2005,consumption_2007,consumption_2009,wealth_1999,wealth_2001,wealth_2003,wealth_2005,wealth_2007,wealth_2009,age_1999,age_2001,age_2003,age_2005,age_2007,age_2009
0.2811347,0.4730198,0.3092486,-0.2165749,-0.3775181,-0.3813338,0.0706373,0.1419957,0.3402378,1.040031,0.2650981,0.2399443,0.0706373,0.1419957,0.3402378,1.040031,0.2650981,0.2399443,35,37,39,41,43,45
0.8835098,-0.1034081,-0.0887776,0.1869678,-0.3289205,0.0602082,0.2265525,0.2738173,0.5475697,0.6420485,0.1322667,0.4030578,0.2265525,0.2738173,0.5475697,0.6420485,0.1322667,0.4030578,43,45,47,49,51,53
0.063431,0.149469,0.4076198,0.6827033,-0.4774653,-0.8257577,0.3444301,-0.2793275,-0.1744592,0.0873666,-0.0533404,0.0753303,0.3444301,-0.2793275,-0.1744592,0.0873666,-0.0533404,0.0753303,49,51,53,55,57,59
-0.2806817,-0.1739464,0.0549535,-0.1483927,-0.2222653,-0.2759037,-0.6404507,-0.6546013,-0.4073603,-0.4366819,-0.3250584,-0.7458901,-0.6404507,-0.6546013,-0.4073603,-0.4366819,-0.3250584,-0.7458901,36,38,40,42,44,46
-0.27603,-0.0808557,-0.0085281,0.172011,0.0585812,0.227393,-0.3985345,-0.0533378,-0.0489509,0.3556454,0.2316478,-0.124438,-0.3985345,-0.0533378,-0.0489509,0.3556454,0.2316478,-0.124438,40,42,44,46,48,50
-0.0911121,-0.1136543,-0.108802,0.5207072,0.6933213,0.2081576,0.122008,0.1606882,0.2549033,0.670673,0.8104047,0.4192704,0.122008,0.1606882,0.2549033,0.670673,0.8104047,0.4192704,44,46,48,50,52,54
-0.2241274,-0.1870514,-0.1231647,0.1941723,0.5594153,0.3415464,-0.6036948,-0.364211,0.1313993,0.2185479,0.1979314,0.0568639,-0.6036948,-0.364211,0.1313993,0.2185479,0.1979314,0.0568639,26,28,30,32,34,36
0.1870161,0.2291126,0.0740741,0.2650782,0.3223044,0.2637802,0.0131897,0.1241196,0.024651,0.2306725,0.4733609,0.0327348,0.0131897,0.1241196,0.024651,0.2306725,0.4733609,0.0327348,38,40,42,44,46,48
-0.8516356,-0.1042649,-0.6972396,-0.5302817,-1.040396,0.5386494,-0.288518,-0.1845968,0.187479,-0.0169239,0.4070817,0.4326151,-0.288518,-0.1845968,0.187479,-0.0169239,0.4070817,0.4326151,37,39,41,43,45,47
-0.0250302,-0.0419972,0.1331374,0.2229669,0.2542913,0.4995858,-0.5321109,-0.1737049,-0.4588707,-0.4230392,-0.1744173,0.1308291,-0.5321109,-0.1737049,-0.4588707,-0.4230392,-0.1744173,0.1308291,28,30,32,34,36,38
-0.2496799,-0.2637638,-0.1609004,-0.1853087,-0.3417141,-0.2641307,-0.1279026,-0.576387,-0.3465047,-0.2648972,-0.1258266,0.2762864,-0.1279026,-0.576387,-0.3465047,-0.2648972,-0.1258266,0.2762864,38,40,42,44,46,48
-1.156881,-0.8254318,-0.8175649,-0.822051,-0.8886154,-0.8060375,-1.099708,-0.6391073,-0.8439117,-0.6894014,-0.4251105,-0.3367372,-1.099708,-0.6391073,-0.8439117,-0.6894014,-0.4251105,-0.3367372,34,36,38,40,42,44
